  5 + -0.863407,
 -5 + 0.630254,
 -5 + 0.766777,
  5 + -0.587788,
 -3 + 0.197374,
 -7 + -0.928392,
  1 + 0.846137,
 -3 + -0.148515,
  5 + 0.20529,
 -3 + 0.957658,
  1 + 0.712777,
 -3 + -0.783731,
 -7 + -0.649688,
 -3 + 0.364183,
 -3 + 0.766379,
  5 + -0.254228,
 -5 + 0.265344,
  1 + -0.0926997,
  5 + -0.729882,
 -5 + -0.946608,
  7 + 0.941424,
 -1 + 0.00502258,
  5 + 0.353994,
 -1 + -0.431315,
 -3 + 0.802947,
  7 + 0.0174765,
 -1 + 0.107732,
  7 + -0.426013,
 -3 + 0.179269,
  1 + -0.334729,
 -5 + 0.363112,
  1 + -0.793512,
 -1 + -0.386831,
  7 + -0.469307,
  7 + -0.592471,
  3 + -0.0650877,
  7 + 0.465307,
 -1 + 0.0575076,
  3 + 0.804467,
  7 + 0.766673,
 -3 + 0.177288,
 -3 + 0.254259,
 -7 + 0.0933109,
  3 + -0.132741,
 -7 + 0.226975,
  1 + 0.805,
  3 + 0.474327,
  3 + -0.147847,
 -1 + 0.3179,
 -7 + -0.141455,
  3 + 0.322113,
 -3 + 0.633945,
 -1 + -0.950742,
 -5 + -0.39542,
  3 + -0.0594983,
 -3 + -0.772717,
 -5 + 0.545784,
  7 + 0.398416,
  3 + -0.673597,
  3 + -0.790352,
 -7 + -0.544624,
  7 + -0.633903,
 -1 + -0.908654,
 -3 + -0.311397,
 -5 + 0.662512,
 -3 + -0.135222,
 -7 + 0.366291,
  1 + -0.741085,
 -7 + -0.29157,
 -5 + -0.673842,
  3 + 0.776452,
 -5 + -0.0937042,
  3 + 0.683802,
 -5 + -0.722854,
 -7 + 0.0347072,
 -5 + 0.40685,
 -5 + 0.31874,
  5 + -0.947299,
  3 + -0.955457,
  1 + 0.742103,
 -5 + -0.535021,
 -5 + -0.67394,
 -5 + -0.108192,
 -1 + -0.968649,
  1 + 0.445698,
  3 + -0.476884,
  7 + 0.566045,
 -7 + -0.137864,
 -1 + -0.190159,
 -5 + -0.0220287,
  5 + 0.307356,
  5 + 0.917233,
 -7 + 0.320761,
  3 + -0.789388,
 -5 + 0.117822,
  5 + -0.604396,
 -1 + 0.552753,
  7 + -0.446649,
  7 + -0.810118,
  7 + -0.658175,
 -7 + 0.553164,
 -7 + -0.344854,
 -3 + 0.280593,
  7 + -0.884303,
  7 + 0.720506,
 -1 + -0.987799,
  7 + 0.793155,
  1 + -0.850125,
  7 + 0.115369,
  5 + 0.544406,
  5 + -0.276058,
 -1 + -0.231108,
 -5 + 0.376881,
  3 + -0.559075,
  7 + -0.915446,
 -1 + -0.460641,
  3 + 0.818044,
 -3 + -0.991244,
  1 + 0.420497,
  1 + 0.485863,
 -3 + -0.376003,
  5 + -0.350986,
  5 + 0.430744,
 -3 + 0.463798,
  5 + 0.42518,
  5 + -0.290836,
 -5 + -0.691567,
 -7 + 0.824346,
  3 + 0.450636,
 -3 + 0.043629,
  7 + 0.316293,
  5 + -0.120924,
  1 + 0.726472,
 -1 + -0.543775,
  3 + 0.933344,
 -3 + 0.132114,
 -3 + -0.310619,
  5 + 0.911921,
 -1 + -0.497207,
  3 + -0.637383,
 -5 + -0.732262,
  7 + 0.107649,
  3 + 0.520015,
 -1 + 0.157455,
 -3 + -0.894858,
 -1 + 0.0945327,
  1 + -0.691426,
  7 + 0.144207,
  3 + 0.445607,
 -1 + 0.255407,
 -7 + 0.306034,
 -3 + -0.371352,
 -1 + 0.124452,
 -5 + 0.359695,
 -5 + -0.888643,
  3 + 0.290357,
  3 + -0.0254667,
 -3 + 0.407853,
 -5 + 0.679174,
 -5 + 0.0575717,
 -3 + 0.137283,
  3 + 0.729587,
  7 + 0.31509,
 -3 + -0.348804,
  1 + 0.57604,
 -5 + 0.345748,
  7 + -0.327496,
 -5 + -0.425651,
 -7 + 0.140657,
 -3 + 0.238764,
 -7 + -0.143133,
  3 + 0.337288,
  1 + 0.959842,
  7 + -0.977864,
