file name
U CAD-ASCII
1.0
PADSCIM OUTPUT
12-27-2005 
 125    0,    0,    0,    0,    0,    0,    0
   1,LFCSP32A    ,  63.50, 143.00,   180, ,U702        
   2,0603        ,  68.96, 143.26,     0, ,C923        
   3,0603        ,  68.96, 140.97,     0, ,C922        
   4,0603        ,  73.23, 142.24,     0, ,C925        
   5,0603        ,  69.98, 137.92,   180, ,R2028       
   6,0603        ,  64.14, 136.65,   270, ,C921        
   7,0603        ,  62.61, 136.78,   270, ,C916        
   8,0603        ,  60.71, 136.78,   270, ,C914        
   9,0603        ,  56.77, 136.02,   180, ,C805        
  10,0603        ,  52.71, 136.02,   180, ,C803        
  11,0603        ,  49.28, 135.00,    90, ,R2030       
  12,0603        ,  49.28, 131.06,    90, ,R2029       
  13,VCTCXO      ,  55.63, 131.83,     0, ,X2          
  14,0603        ,  61.85, 133.86,     0, ,C924        
  15,0603        ,  64.77, 133.10,   270, ,C926        
  16,1206        ,  56.26, 138.18,   270, ,C915        
  17,0603        ,  57.07, 140.46,   180, ,C920        
  18,0603        ,  57.07, 142.29,   180, ,C919        
  19,0603        ,  57.07, 143.81,   180, ,C917        
  20,0603        ,  57.07, 145.47,   180, ,C918        
  21,1206        ,  51.94, 143.64,     0, ,C913        
  22,0603        ,  49.40, 143.00,    90, ,R902        
  23,0603        ,  49.40, 139.19,    90, ,R901        
  24,0603        ,  50.93, 139.19,    90, ,C912        
  25,MSOP8       ,  44.83, 140.97,    90, ,U701        
  26,1206        ,  39.80, 139.27,     0, ,C910        
  27,0603        ,  37.67, 139.88,   270, ,C911        
  28,0603        ,  36.58, 129.41,     0, ,C602        
  29,0603        ,  40.39, 129.41,   180, ,C600        
  30,0603        ,  44.20, 129.41,     0, ,C601        
  31,0603        ,  25.15, 128.27,     0, ,C642        
  32,0603        ,  25.27, 119.63,     0, ,C632        
  33,1206        ,  32.00, 105.59,   270, ,C705        
  34,0603        ,  34.04, 103.76,   180, ,C703        
  35,0603        ,  30.10, 103.63,     0, ,C702        
  36,0603        ,  25.40,  98.30,    90, ,R1001       
  37,0603        ,  24.00,  98.30,   270, ,R1002       
  38,1206        ,  20.96,  99.44,   270, ,C1001       
  39,1206        ,  20.96,  96.27,   270, ,C1002       
  40,0603        ,  23.88,  90.17,   180, ,C714        
  41,0603        ,  23.88,  88.77,     0, ,R702        
  42,LQFP128     ,  36.07,  89.74,     0, ,U602        
  43,0603        ,  47.24,  99.95,   270, ,C704        
  44,PQ240       ,  79.76,  90.17,     0, ,U101        
  45,0603        , 100.46,  89.92,   180, ,C1016       
  46,0603        , 100.46,  88.52,     0, ,R490        
  47,0603        , 100.46,  87.00,     0, ,R492        
  48,0603        , 100.46,  91.44,   180, ,R1016       
  49,0603        , 100.46,  92.96,     0, ,R491        
  50,LQFP128     , 124.43,  91.14,   180, ,U601        
  51,0603        , 135.51,  91.31,   180, ,C701        
  52,0603        , 136.14,  83.31,   270, ,R1003       
  53,0603        , 137.67,  83.31,    90, ,R1004       
  54,1206        , 140.72,  82.55,    90, ,C1003       
  55,1206        , 140.72,  84.84,    90, ,C1004       
  56,0603        , 130.43,  77.85,   180, ,C708        
  57,0603        , 130.43,  76.84,   180, ,C709        
  58,0603        , 115.70,  77.47,   180, ,C710        
  59,0603        , 112.52,  77.60,     0, ,C528        
  60,0603        , 108.20,  76.84,   180, ,C515        
  61,0603        , 108.20,  78.49,   180, ,C529        
  62,1206        , 110.97,  80.62,    90, ,L511        
  63,1206        , 116.33,  75.56,   270, ,C711        
  64,SIZE-C      , 146.30,  74.04,   270, ,C523        
  65,0603        , 136.14,  62.61,     0, ,C612        
  66,0603        , 136.14,  60.96,     0, ,C611        
  67,0603        , 131.45,  51.05,     0, ,C608        
  68,0603        , 123.83,  51.94,   180, ,C595        
  69,0603        , 117.60,  51.05,   270, ,C543        
  70,0603        , 115.82,  50.80,   270, ,C1020       
  71,0603        , 111.00,  48.77,     0, ,R418        
  72,0603        , 111.13,  47.12,     0, ,R417        
  73,0603        , 111.13,  44.96,     0, ,R442        
  74,SO8         , 118.87,  45.59,    90, ,U413        
  75,0603        ,  90.81,  45.97,   270, ,C541        
  76,0603        ,  85.95,  45.57,   270, ,R2004       
  77,0603        ,  83.06,  45.85,   270, ,C538        
  78,0603        ,  77.66,  45.53,     0, ,C460        
  79,0603        ,  70.17,  45.66,   180, ,C464        
  80,HC-49USMD   ,  72.26,  41.85,   180, ,X1          
  81,UNKNOWN     ,  73.25,  35.89,    90, ,D403        
  82,UNKNOWN     ,  70.78,  35.89,    90, ,D402        
  83,0603        ,  68.33,  33.91,   270, ,R422        
  84,0603        ,  75.56,  33.91,   270, ,R420        
  85,SIZE-C      ,  88.62,  37.90,    90, ,C905        
  86,0603        ,  91.54,  40.18,   270, ,C902        
  87,0603        ,  93.45,  40.18,   270, ,C901        
  88,1206        ,  96.77,  41.02,   270, ,L402        
  89,0603        ,  99.95,  40.13,   270, ,C904        
  90,0603        ,  93.34,  51.44,   270, ,C545        
  91,TQFP100     ,  80.01,  57.15,    90, ,U412        
  92,0603        ,  80.39,  67.95,   180, ,R104        
  93,0603        ,  83.69,  67.95,     0, ,R102        
  94,0603        ,  84.96,  69.60,   180, ,R101        
  95,0603        ,  23.24,  69.98,    90, ,C631        
  96,0603        ,  23.11,  65.91,   270, ,C629        
  97,0603        ,  24.38,  61.47,   180, ,C628        
  98,0603        ,  24.51,  52.32,     0, ,C630        
  99,0603        ,  33.27,  49.53,    90, ,C510        
 100,0603        ,  35.69,  49.53,    90, ,C518        
 101,0603        ,  37.59,  49.66,    90, ,C513        
 102,0603        ,  41.78,  52.07,   180, ,C606        
 103,0603        ,  46.48,  52.20,   180, ,C603        
 104,SIZE-C      ,  44.07,  42.86,   270, ,C507        
 105,LT1085      ,  35.81,  40.61,   180, ,U502        
 106,SIZE-C      ,  26.29,  41.78,    90, ,C502        
 107,0603        ,  63.88,  29.34,   180, ,F501        
 108,SIZE-C      ,  11.30,  68.96,   270, ,C527        
 109,0603        ,  79.38, 110.49,   180, ,C578        
 110,0603        ,  83.82, 110.49,     0, ,C577        
 111,1206        ,  78.38, 113.39,   270, ,L509        
 112,0603        ,  77.85, 115.57,     0, ,C512        
 113,0603        ,  74.42, 115.57,   180, ,C505        
 114,PWP-20      ,  76.71, 120.90,    90, ,U503        
 115,SIZE-C      ,  83.69, 123.44,   270, ,C508        
 116,0603        ,  78.49, 125.98,     0, ,C519        
 117,0603        ,  78.49, 127.64,     0, ,C514        
 118,0603        ,  75.44, 126.87,    90, ,R503        
 119,0603        , 114.30, 129.41,   180, ,C593        
 120,0603        , 117.98, 128.91,     0, ,C592        
 121,0603        , 133.22, 128.78,   180, ,C626        
 122,0603        , 136.78, 128.78,     0, ,C627        
 123,0603        , 134.87, 119.13,   180, ,C620        
 124,0603        , 134.87, 117.60,   180, ,C619        
 125,0603        ,  73.30, 152.10,   180, ,C927        
0,  0.00,  0.00
